order_id,order_ts,country,category,price,quantity
1,2024-01-07,CA,toys,51.82,6
2,2024-01-20,UK,home,211.51,6
3,2024-01-29,UK,grocery,32.05,1
4,2024-01-15,US,electronics,419.53,1
5,2024-01-11,UK,electronics,366.38,4
6,2024-01-08,UK,home,461.27,6
7,2024-01-29,MX,electronics,253.34,4
8,2024-01-21,US,home,56.12,4
9,2024-01-07,US,grocery,294.07,7
10,2024-01-26,CA,toys,434.24,6
11,2024-01-19,UK,toys,29.78,5
12,2024-01-23,MX,grocery,408.34,3
13,2024-01-11,CA,electronics,313.68,8
14,2024-01-11,MX,grocery,70.45,5
15,2024-01-24,US,toys,331.28,4
16,2024-01-21,UK,home,35.74,3
17,2024-01-04,MX,home,91.35,8
18,2024-01-08,CA,electronics,33.88,5
19,2024-01-24,US,toys,294.24,7
20,2024-01-03,MX,home,147.43,8
21,2024-01-22,MX,home,147.78,2
22,2024-01-21,CA,home,325.0,4
23,2024-01-02,MX,electronics,59.45,8
24,2024-01-24,US,toys,318.44,2
25,2024-01-12,MX,grocery,350.46,9
26,2024-01-30,UK,home,429.43,8
27,2024-01-06,UK,grocery,337.37,9
28,2024-01-02,CA,grocery,328.45,4
29,2024-01-28,UK,electronics,330.0,8
30,2024-01-21,UK,electronics,25.37,2
31,2024-01-01,MX,grocery,223.66,4
32,2024-01-12,US,electronics,277.83,7
33,2024-01-26,US,grocery,334.22,7
34,2024-01-22,MX,home,149.15,6
35,2024-01-29,UK,toys,340.57,6
36,2024-01-12,MX,grocery,200.95,1
37,2024-01-25,UK,toys,359.09,5
38,2024-01-17,UK,grocery,96.6,2
39,2024-01-27,UK,home,155.82,4
40,2024-01-27,US,electronics,475.05,7
41,2024-01-10,CA,grocery,380.17,1
42,2024-01-28,US,electronics,449.82,2
43,2024-01-28,UK,home,104.1,4
44,2024-01-16,MX,toys,471.73,4
45,2024-01-15,MX,grocery,373.37,4
46,2024-01-30,UK,grocery,297.33,9
47,2024-01-30,CA,toys,11.31,6
48,2024-01-15,US,grocery,30.69,4
49,2024-01-30,US,grocery,387.36,3
50,2024-01-19,UK,toys,336.14,9
51,2024-01-12,UK,electronics,110.77,5
52,2024-01-23,CA,electronics,223.44,8
53,2024-01-20,US,toys,329.7,1
54,2024-01-25,CA,home,12.56,4
55,2024-01-03,US,toys,340.19,8
56,2024-01-05,CA,toys,203.77,2
57,2024-01-19,CA,electronics,51.96,8
58,2024-01-07,CA,grocery,85.96,9
59,2024-01-21,MX,home,216.19,5
60,2024-01-09,MX,grocery,315.05,9
61,2024-01-07,MX,grocery,175.45,7
62,2024-01-18,US,home,59.5,5
63,2024-01-04,CA,toys,414.03,8
64,2024-01-25,UK,toys,252.63,5
65,2024-01-28,UK,grocery,145.04,3
66,2024-01-14,US,grocery,343.24,4
67,2024-01-18,US,home,171.46,7
68,2024-01-26,UK,electronics,184.05,1
69,2024-01-09,CA,home,142.42,2
70,2024-01-26,MX,home,183.67,5
71,2024-01-21,US,home,134.88,5
72,2024-01-02,US,electronics,491.29,7
73,2024-01-20,US,toys,132.48,8
74,2024-01-28,UK,home,325.29,8
75,2024-01-15,MX,electronics,100.12,7
76,2024-01-28,CA,grocery,280.62,7
77,2024-01-07,CA,home,256.92,4
78,2024-01-12,UK,grocery,279.08,4
79,2024-01-29,US,grocery,181.42,3
80,2024-01-08,UK,electronics,436.04,3
81,2024-01-15,UK,grocery,152.45,5
82,2024-01-03,CA,grocery,436.33,8
83,2024-01-14,MX,home,206.14,7
84,2024-01-17,CA,grocery,327.88,5
85,2024-01-04,UK,home,9.98,7
86,2024-01-18,UK,grocery,223.28,1
87,2024-01-08,US,toys,326.58,7
88,2024-01-04,US,toys,152.32,9
89,2024-01-02,UK,electronics,164.11,8
90,2024-01-30,CA,grocery,201.51,7
91,2024-01-06,US,electronics,138.2,5
92,2024-01-22,MX,home,303.52,2
93,2024-01-10,MX,home,29.34,4
94,2024-01-04,UK,grocery,416.41,2
95,2024-01-22,MX,grocery,480.19,4
96,2024-01-29,MX,toys,87.0,3
97,2024-01-18,US,home,116.43,5
98,2024-01-26,US,home,474.68,4
99,2024-01-12,CA,home,86.25,2
100,2024-01-02,US,electronics,57.64,4
101,2024-01-10,CA,grocery,397.66,6
102,2024-01-30,US,home,340.44,7
103,2024-01-04,UK,home,341.53,2
104,2024-01-14,CA,grocery,117.19,5
105,2024-01-16,UK,grocery,191.08,4
106,2024-01-15,CA,electronics,83.87,1
107,2024-01-08,MX,toys,84.99,6
108,2024-01-14,CA,home,250.36,5
109,2024-01-23,CA,toys,337.99,7
110,2024-01-28,CA,grocery,163.76,2
111,2024-01-25,CA,toys,240.3,4
112,2024-01-30,CA,electronics,177.44,4
113,2024-01-08,MX,toys,457.82,4
114,2024-01-21,CA,home,353.19,3
115,2024-01-16,UK,electronics,314.45,2
116,2024-01-13,CA,grocery,366.51,4
117,2024-01-18,CA,electronics,137.64,9
118,2024-01-15,UK,home,465.25,9
119,2024-01-21,US,grocery,103.75,7
120,2024-01-24,US,toys,73.35,8
121,2024-01-26,MX,home,453.47,7
122,2024-01-25,CA,electronics,133.66,1
123,2024-01-28,CA,electronics,424.94,4
124,2024-01-28,US,electronics,152.34,7
125,2024-01-28,CA,grocery,150.76,7
126,2024-01-13,MX,electronics,479.1,6
127,2024-01-09,UK,grocery,482.82,1
128,2024-01-29,CA,electronics,481.09,6
129,2024-01-15,UK,electronics,72.91,1
130,2024-01-13,MX,grocery,287.99,7
131,2024-01-01,US,grocery,23.04,5
132,2024-01-25,MX,grocery,344.8,3
133,2024-01-07,MX,home,337.21,3
134,2024-01-09,MX,toys,496.2,8
135,2024-01-24,MX,electronics,439.52,9
136,2024-01-01,UK,home,113.0,6
137,2024-01-12,MX,toys,224.68,3
138,2024-01-08,MX,electronics,132.36,5
139,2024-01-24,MX,electronics,28.63,2
140,2024-01-11,MX,electronics,194.32,2
141,2024-01-19,UK,toys,58.31,5
142,2024-01-17,MX,electronics,383.62,2
143,2024-01-08,US,home,197.77,3
144,2024-01-03,MX,electronics,20.46,1
145,2024-01-03,MX,home,139.0,8
146,2024-01-01,CA,grocery,169.71,9
147,2024-01-27,CA,toys,229.33,4
148,2024-01-05,CA,home,342.19,4
149,2024-01-10,MX,electronics,395.0,1
150,2024-01-07,US,home,492.97,9
151,2024-01-26,US,home,427.84,1
152,2024-01-09,CA,grocery,231.52,2
153,2024-01-28,CA,toys,57.22,1
154,2024-01-07,MX,grocery,333.68,6
155,2024-01-09,US,toys,214.08,8
156,2024-01-08,US,grocery,205.77,6
157,2024-01-12,CA,toys,172.19,6
158,2024-01-02,US,electronics,88.58,7
159,2024-01-01,CA,home,48.95,9
160,2024-01-16,CA,home,410.35,5
161,2024-01-23,UK,grocery,96.56,2
162,2024-01-23,UK,electronics,351.42,2
163,2024-01-30,MX,electronics,364.75,3
164,2024-01-24,CA,electronics,157.14,3
165,2024-01-05,MX,grocery,280.33,8
166,2024-01-03,UK,toys,357.12,6
167,2024-01-12,US,electronics,71.55,3
168,2024-01-08,UK,electronics,88.83,4
169,2024-01-22,UK,toys,360.19,6
170,2024-01-27,UK,toys,143.53,6
171,2024-01-03,US,electronics,58.06,6
172,2024-01-01,UK,grocery,262.52,2
173,2024-01-03,CA,grocery,404.15,6
174,2024-01-05,CA,home,156.55,9
175,2024-01-15,UK,home,133.96,8
176,2024-01-14,MX,home,107.85,6
177,2024-01-03,MX,grocery,240.96,6
178,2024-01-01,US,home,288.52,8
179,2024-01-05,US,electronics,71.61,6
180,2024-01-26,CA,grocery,401.71,1
181,2024-01-23,CA,grocery,267.39,4
182,2024-01-14,UK,home,283.57,3
183,2024-01-07,MX,electronics,63.19,9
184,2024-01-27,CA,electronics,313.51,5
185,2024-01-09,MX,grocery,340.77,5
186,2024-01-15,US,grocery,204.89,5
